id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,nline,neline,eline,seline,sline,swline,wline,nwline,line_index,area_index,sname2,n_dbh,ne_dbh,e_dbh,se_dbh,s_dbh,sw_dbh,w_dbh,nw_dbh,sname3,dbh_count,cdbh_sum,cdbh_avg,dbh_ratio,sum_dbh_ratio1_sd,sum_dbh_ratio2_cd,ba_ratio,sum_ba_ratio,sdbh_x_avgcdbh
838,4,9,9,19,4,4,4.4,2010,U07m,82XAA04,3.9,7.7,6.5,12.7,4.1,5.7,4.8,5.7,51.09,111.28,82XAA04,5.7,2.9,1.7,0,5.3,5.4,3.9,5.4,82XAA04,7,30.3,3.79,1.16,6.89,8.47,1.07,7.51,16.67
839,4,9,9,20,4,4,5.3,2010,U07m,82XAA04,4.9,9.6,9.0,6.1,4.6,5.7,4.5,7.3,51.83,119.65,82XAA04,4.4,1.7,0,5.7,5,6.5,5.4,3.9,82XAA04,7,32.6,4.08,1.30,6.15,9.47,1.35,5.92,21.60
840,4,9,9,21,4,4,5,2010,U07m,NM6,4.4,12.7,4.2,12.7,9.0,12.7,3.9,6.1,65.79,174.04,NM6,5.3,0,5.7,0,0,0,6.5,5.4,NM6,4,22.9,2.86,1.75,4.58,3.52,1.52,5.28,14.31
841,4,9,9,1,5,5,2.2,2010,U07m,81XAA04,9.0,12.7,2.2,3.7,2.8,5.1,9.0,12.7,57.26,159.24,81XAA04,0,0,6.8,5.4,4.8,3.3,0,0,81XAA04,4,20.3,2.54,0.87,9.23,1.86,0.35,22.59,5.58
842,4,9,9,2,5,5,4.8,2010,U07m,81XAA04,6.2,5.3,4.2,6.1,5.1,11.7,5.3,12.7,56.68,134.54,81XAA04,2.2,6.8,5.4,5.2,3.7,0.4,3.3,0,81XAA04,7,27.0,3.38,1.42,5.62,19.45,1.40,5.73,16.20
843,4,9,9,3,5,5,3.7,2010,U07m,81XAA04,3.9,5.2,3.7,12.7,2.8,12.1,8.1,6.7,55.31,118.91,81XAA04,4.8,5.4,5.2,0,8.1,0.2,0.4,3.3,81XAA04,7,27.4,3.43,1.08,7.41,31.50,0.70,11.39,12.67
844,4,9,9,4,5,5,8.1,2010,U07m,81XAA04,6.2,7.8,9.0,8.2,9.0,7.9,8.8,12.1,68.96,207.72,81XAA04,3.7,5.2,0,4.4,0,5,0.2,0.4,81XAA04,6,18.9,2.36,3.43,2.33,67.96,6.15,1.30,19.14
845,4,9,9,5,5,5,0,2010,U07m,2XT4E04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,8.1,0,4.4,6,0,3.9,5,0.2,2XT4E04,6,27.6,3.45,0.00,0.00,0.00,0.00,0.00,0.00
846,4,9,9,6,5,5,0,2010,U07m,2XT4E04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0,4.4,6,4.9,0,2.9,3.9,5,2XT4E04,6,27.1,3.39,0.00,0.00,0.00,0.00,0.00,0.00
847,4,9,9,7,5,5,0,2010,U07m,2XT4E04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0,6,4.9,3.8,0,5,2.9,3.9,2XT4E04,6,26.5,3.31,0.00,0.00,0.00,0.00,0.00,0.00
848,4,9,9,8,5,5,0,2010,U07m,2XT4E04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0,4.9,3.8,1.9,3.2,1.6,5,2.9,2XT4E04,7,23.3,2.91,0.00,0.00,0.00,0.00,0.00,0.00
849,4,9,9,9,5,5,3.2,2010,U07m,84XAA04,9.0,5.8,5.6,4.8,4.6,7.1,6.0,5.0,48.07,101.01,84XAA04,0,3.8,1.9,5.2,3,2.5,1.6,5,84XAA04,7,23.0,2.88,1.11,7.19,8.13,0.93,8.58,9.20
850,4,9,9,10,5,5,3,2010,U07m,84XAA04,4.4,7.8,3.3,9.1,2.7,10.6,4.9,8.3,51.08,96.24,84XAA04,3.2,1.9,5.2,1.2,6.9,0.6,2.5,1.6,84XAA04,8,23.1,2.89,1.04,7.70,14.10,0.73,11.01,8.66
851,4,9,9,11,5,5,6.9,2010,U07m,84XAA04,6.3,7.3,7.7,8.1,4.8,11.6,8.3,9.3,63.25,172.89,84XAA04,3,5.2,1.2,4,6,0.7,0.6,2.5,84XAA04,8,23.2,2.90,2.38,3.36,36.37,3.94,2.03,20.01
852,4,9,9,12,5,5,6,2010,U07m,84XAA04,4.2,10.6,5.4,12.7,6.8,8.0,8.1,11.6,67.34,182.81,84XAA04,6.9,1.2,4,0,2,3.5,0.7,0.6,84XAA04,7,18.9,2.36,2.54,3.15,30.66,3.51,2.28,14.18
853,4,9,9,13,5,5,2,2010,U07m,17XGA04,2.3,4.2,9.0,12.7,3.2,12.7,3.3,9.4,56.81,118.93,17XGA04,6,4,0,0,3.7,0,3.5,0.7,17XGA04,5,17.9,2.24,0.89,8.95,4.80,0.41,19.61,4.48
854,4,9,9,14,5,5,3.7,2010,U07m,17XGA04,5.8,12.7,9.0,12.7,4.0,5.4,9.0,6.5,65.15,183.98,17XGA04,2,0,0,0,4.7,5.1,0,3.5,17XGA04,4,15.3,1.91,1.93,4.14,4.42,1.70,4.70,7.08
855,4,9,9,15,5,5,4.7,2010,U07m,17XGA04,5.0,12.7,9.0,8.9,4.8,5.7,4.3,12.7,63.19,166.93,17XGA04,3.7,0,0,2,4.2,5.8,5.1,0,17XGA04,5,20.8,2.60,1.81,4.43,6.47,1.86,4.30,12.22
856,4,9,9,16,5,5,4.2,2010,U07m,17XGA04,4.2,12.7,6.1,6.4,8.0,7.7,3.8,5.7,54.83,127.44,17XGA04,4.7,0,2,4.1,0.5,2.7,5.8,5.1,17XGA04,7,24.9,3.11,1.35,5.93,15.52,1.28,6.24,13.07
857,4,9,9,17,5,5,0.5,2010,U07m,85XAA04,1.0,2.5,1.0,1.2,1.3,1.0,1.4,1.0,10.45,4.55,85XAA04,4.2,2,4.1,4.8,2.9,5.7,2.7,5.8,85XAA04,8,32.2,4.03,0.12,64.40,1.13,0.01,573.28,2.01
858,4,9,9,18,5,5,2.9,2010,U07m,85XAA04,7.7,5.3,3.4,5.2,5.7,5.1,3.0,6.6,41.89,77.82,85XAA04,0.5,4.1,4.8,4.2,1.7,4.4,5.7,2.7,85XAA04,8,28.1,3.51,0.83,9.69,11.75,0.56,14.24,10.19
859,4,9,9,19,5,5,1.7,2010,U07m,85XAA04,3.3,3.3,2.6,3.0,9.0,3.1,2.5,2.9,29.78,37.89,85XAA04,2.9,4.8,4.2,5.5,0,5.3,4.4,5.7,85XAA04,7,32.8,4.10,0.41,19.29,2.66,0.15,55.11,6.97
860,4,9,9,20,5,5,0,2010,U07m,85XAA04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,1.7,4.2,5.5,6,5.7,5,5.3,4.4,85XAA04,8,37.8,4.73,0.00,0.00,0.00,0.00,0.00,0.00
861,4,9,9,21,5,5,5.7,2010,U07m,NM6,9.0,6.5,4.4,12.7,9.0,12.7,4.8,6.6,65.71,185.12,NM6,0,5.5,6,0,0,0,5,5.3,NM6,4,21.8,2.73,2.09,3.82,4.20,2.18,3.67,15.53
862,4,9,9,1,6,6,6.8,2010,U07m,81XAA04,9.0,12.7,5.0,6.7,5.0,7.5,6.8,12.7,65.46,189.14,81XAA04,0,0,5.4,6.1,5.4,4.8,2.2,0,81XAA04,5,23.9,2.99,2.28,3.51,8.14,3.00,2.67,20.32
863,4,9,9,2,6,6,5.4,2010,U07m,81XAA04,4.0,6.4,4.2,6.5,4.6,7.6,4.8,9.0,47.07,91.80,81XAA04,6.8,5.4,6.1,5.1,5.2,3.7,4.8,2.2,81XAA04,8,39.3,4.91,1.10,7.28,9.82,1.13,7.11,26.53
864,4,9,9,3,6,6,5.2,2010,U07m,81XAA04,4.4,5.9,4.5,5.8,9.0,5.0,5.3,6.6,46.42,93.83,81XAA04,5.4,6.1,5.1,6.3,0,8.1,3.7,4.8,81XAA04,7,39.5,4.94,1.05,7.60,6.79,0.92,8.67,25.68
865,4,9,9,4,6,6,0,2010,U07m,81XAA04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,81XAA04,5.2,5.1,6.3,0.7,4.4,0,8.1,3.7,81XAA04,7,33.5,4.19,0.00,0.00,0.00,0.00,0.00,0.00
866,4,9,9,5,6,6,4.4,2010,U07m,82XAA04,9.0,5.2,7.8,12.7,3.8,12.7,9.0,4.5,64.74,169.24,82XAA04,0,6.3,0.7,0,6,0,0,8.1,82XAA04,4,21.1,2.64,1.67,4.80,8.26,1.09,7.32,11.61
867,4,9,9,6,6,6,6,2010,U07m,82XAA04,5.2,11.4,9.0,9.0,5.0,12.7,9.0,12.7,73.98,228.18,82XAA04,4.4,0.7,0,2.5,4.9,0,0,0,82XAA04,4,12.5,1.56,3.84,2.08,13.56,5.75,1.39,9.38
868,4,9,9,7,6,6,4.9,2010,U07m,82XAA04,4.0,12.7,6.0,8.8,5.1,12.7,9.0,12.7,71.04,201.29,82XAA04,6,0,2.5,2.2,3.8,0,0,0,82XAA04,4,14.5,1.81,2.70,2.96,6.29,3.12,2.56,8.88
869,4,9,9,8,6,6,3.8,2010,U07m,82XAA04,3.9,7.7,5.7,6.6,6.0,6.9,9.0,12.7,58.57,148.38,82XAA04,4.9,2.5,2.2,3.5,1.9,3.2,0,0,82XAA04,6,18.2,2.28,1.67,4.79,8.30,1.89,4.24,8.65
870,4,9,9,9,6,6,1.9,2010,U07m,18XAG04,3.0,5.9,3.2,4.9,2.4,4.9,3.4,12.7,40.42,61.23,18XAG04,3.8,2.2,3.5,3,5.2,3,3.2,0,18XAG04,7,23.9,2.99,0.64,12.58,4.13,0.33,24.05,5.68
871,4,9,9,10,6,6,5.2,2010,U07m,18XAG04,6.6,7.6,5.7,7.8,7.3,5.5,5.7,7.9,54.06,128.36,18XAG04,1.9,3.5,3,3.3,1.2,6.9,3,3.2,18XAG04,8,26.0,3.25,1.60,5.00,15.98,2.08,3.85,16.90
872,4,9,9,11,6,6,1.2,2010,U07m,18XAG04,1.7,3.6,2.4,12.7,2.1,2.1,1.3,3.6,29.62,31.84,18XAG04,5.2,3,3.3,0,4,6,6.9,3,18XAG04,7,31.4,3.93,0.31,26.17,2.07,0.07,108.01,4.71
873,4,9,9,12,6,6,4,2010,U07m,18XAG04,6.9,7.0,9.0,4.7,9.0,8.5,3.6,4.7,53.32,124.16,18XAG04,1.2,3.3,0,6.9,0,2,6,6.9,18XAG04,6,26.3,3.29,1.22,6.58,8.37,0.87,9.22,13.15
874,4,9,9,13,6,6,0,2010,U07m,1XTE04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1XTE04,4,0,6.9,5.9,0,3.7,2,6,1XTE04,6,28.5,3.56,0.00,0.00,0.00,0.00,0.00,0.00
875,4,9,9,14,6,6,0,2010,U07m,1XTE04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1XTE04,0,6.9,5.9,6.5,0,4.7,3.7,2,1XTE04,6,29.7,3.71,0.00,0.00,0.00,0.00,0.00,0.00
876,4,9,9,15,6,6,0,2010,U07m,1XTE04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1XTE04,0,5.9,6.5,7.1,2,4.2,4.7,3.7,1XTE04,7,34.1,4.26,0.00,0.00,0.00,0.00,0.00,0.00
877,4,9,9,16,6,6,2,2010,U07m,1XTE04,9.0,3.0,2.0,9.4,3.0,10.2,2.9,3.8,43.24,65.12,1XTE04,0,6.5,7.1,0.7,4.1,0.5,4.2,4.7,1XTE04,7,27.8,3.48,0.58,13.90,8.84,0.21,37.49,6.95
878,4,9,9,17,6,6,4.1,2010,U07m,82XAA04,6.0,4.7,7.7,6.7,4.1,7.5,8.0,6.3,51.00,113.97,82XAA04,2,7.1,0.7,3.7,4.8,2.9,0.5,4.2,82XAA04,8,25.9,3.24,1.27,6.32,21.04,1.14,7.02,13.27
879,4,9,9,18,6,6,4.8,2010,U07m,82XAA04,4.9,11.1,5.1,7.3,4.8,9.4,5.6,11.5,59.65,141.68,82XAA04,4.1,0.7,3.7,3.6,4.2,1.7,2.9,0.5,82XAA04,8,21.4,2.68,1.79,4.46,25.88,2.52,3.17,12.84
880,4,9,9,19,6,6,4.2,2010,U07m,82XAA04,4.2,6.8,4.8,5.3,3.9,12.7,6.4,7.5,51.67,112.60,82XAA04,4.8,3.7,3.6,5.9,5.5,0,1.7,2.9,82XAA04,7,28.1,3.51,1.20,6.69,8.57,1.12,7.15,14.75
881,4,9,9,20,6,6,5.5,2010,U07m,82XAA04,5.1,7.7,4.3,8.9,4.3,6.3,9.0,9.7,55.28,130.66,82XAA04,4.2,3.6,5.9,2.4,6,5.7,0,1.7,82XAA04,7,29.5,3.69,1.49,5.36,11.18,1.70,4.71,20.28
882,4,9,9,21,6,6,6,2010,U07m,NM6,4.7,6.4,6.4,12.7,9.0,12.7,4.6,12.7,69.34,197.84,NM6,5.5,5.9,2.4,0,0,0,5.7,0,NM6,4,19.5,2.44,2.46,3.25,5.66,2.79,2.87,14.63
883,4,9,9,1,7,7,5.4,2010,U07m,83XAA04,9.0,12.7,6.8,12.7,4.2,6.4,4.0,12.7,68.51,197.17,83XAA04,0,0,1.8,0,6.1,5.4,6.8,0,83XAA04,4,20.1,2.51,2.15,3.72,5.68,2.01,3.97,13.57
884,4,9,9,2,7,7,6.1,2010,U07m,83XAA04,4.8,9.8,9.0,11.1,4.9,6.9,4.8,6.0,57.26,146.20,83XAA04,5.4,1.8,0,0.9,5.1,5.2,5.4,6.8,83XAA04,7,30.6,3.83,1.59,5.02,15.69,1.84,4.34,23.33
885,4,9,9,3,7,7,5.1,2010,U07m,83XAA04,4.1,12.7,7.7,9.5,4.0,12.7,4.5,6.2,61.41,149.14,83XAA04,6.1,0,0.9,1.7,6.3,0,5.2,5.4,83XAA04,6,25.6,3.20,1.59,5.02,12.24,1.52,5.26,16.32
886,4,9,9,4,7,7,6.3,2010,U07m,83XAA04,5.0,11.1,7.1,7.8,8.1,7.5,9.0,7.0,62.55,169.05,83XAA04,5.1,0.9,1.7,4,0.7,4.4,0,5.2,83XAA04,7,22.0,2.75,2.29,3.49,25.16,3.43,2.33,17.33
887,4,9,9,5,7,7,0.7,2010,U07m,2XT4E04,0.9,3.7,1.3,3.4,9.0,1.3,1.2,12.7,33.67,29.89,2XT4E04,6.3,1.7,4,1.9,0,6,4.4,0,2XT4E04,6,24.3,3.04,0.23,34.71,1.34,0.03,239.90,2.13
888,4,9,9,6,7,7,0,2010,U07m,2XT4E04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0.7,4,1.9,1.9,2.5,4.9,6,4.4,2XT4E04,8,26.3,3.29,0.00,0.00,0.00,0.00,0.00,0.00
889,4,9,9,7,7,7,2.5,2010,U07m,2XT4E04,9.0,7.2,5.1,5.0,4.8,5.1,3.0,3.7,42.94,83.40,2XT4E04,0,1.9,1.9,3.9,2.2,3.8,4.9,6,2XT4E04,7,24.6,3.08,0.81,9.84,5.99,0.49,16.28,7.69
890,4,9,9,8,7,7,2.2,2010,U07m,2XT4E04,4.2,6.8,3.2,3.5,3.5,6.8,3.3,3.9,35.38,53.26,2XT4E04,2.5,1.9,3.9,5.7,3.5,1.9,3.8,4.9,2XT4E04,8,28.1,3.51,0.63,12.77,5.80,0.35,23.11,7.73
891,4,9,9,9,7,7,3.5,2010,U07m,17XGA04,5.5,6.0,3.4,5.5,4.8,5.1,5.8,6.1,42.37,78.97,17XGA04,2.2,3.9,5.7,4.6,3,5.2,1.9,3.8,17XGA04,8,30.3,3.79,0.92,8.66,8.47,0.77,10.43,13.26
892,4,9,9,10,7,7,3,2010,U07m,17XGA04,4.2,4.4,3.6,4.8,4.3,9.1,3.3,7.8,41.33,70.06,17XGA04,3.5,5.7,4.6,5,3.3,1.2,5.2,1.9,17XGA04,8,30.4,3.80,0.79,10.13,8.20,0.54,14.88,11.40
893,4,9,9,11,7,7,3.3,2010,U07m,17XGA04,4.7,5.3,3.6,5.4,9.0,5.8,6.6,4.9,45.29,91.04,17XGA04,3,4.6,5,4.5,0,4,1.2,5.2,17XGA04,7,27.5,3.44,0.96,8.33,7.42,0.73,11.01,11.34
894,4,9,9,12,7,7,0,2010,U07m,17XGA04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,17XGA04,3.3,5,4.5,4.5,6.9,0,4,1.2,17XGA04,7,29.4,3.68,0.00,0.00,0.00,0.00,0.00,0.00
895,4,9,9,13,7,7,6.9,2010,U07m,83XAA04,9.0,7.7,5.4,8.1,4.9,12.7,9.0,8.1,64.84,182.30,83XAA04,0,4.5,4.5,4,5.9,0,0,4,83XAA04,5,22.9,2.86,2.41,3.32,7.69,3.55,2.25,19.75
896,4,9,9,14,7,7,5.9,2010,U07m,83XAA04,4.1,7.2,5.4,12.7,4.3,12.7,9.0,12.7,68.20,186.63,83XAA04,6.9,4.5,4,0,6.5,0,0,0,83XAA04,4,21.9,2.74,2.16,3.71,4.55,2.21,3.62,16.15
897,4,9,9,15,7,7,6.5,2010,U07m,83XAA04,4.7,7.9,9.0,9.0,4.3,9.7,9.0,12.7,66.35,188.01,83XAA04,5.9,4,0,2.7,7.1,2,0,0,83XAA04,5,21.7,2.71,2.40,3.34,9.30,3.00,2.66,17.63
898,4,9,9,16,7,7,7.1,2010,U07m,83XAA04,4.7,12.7,6.5,8.1,8.2,8.1,7.0,12.7,68.03,188.60,83XAA04,6.5,0,2.7,4.1,0.7,4.1,2,0,83XAA04,6,20.1,2.51,2.83,2.83,20.88,4.60,1.74,17.84
899,4,9,9,17,7,7,0.7,2010,U07m,81XAA04,0.8,2.6,1.3,1.6,1.4,1.6,1.3,3.3,14.05,7.61,81XAA04,7.1,2.7,4.1,4.7,3.7,4.8,4.1,2,81XAA04,8,33.2,4.15,0.17,47.43,1.53,0.03,314.57,2.91
900,4,9,9,18,7,7,3.7,2010,U07m,81XAA04,7.6,6.0,4.0,7.5,4.6,6.0,3.9,6.0,45.52,89.54,81XAA04,0.7,4.1,4.7,2.6,3.6,4.2,4.8,4.1,81XAA04,8,28.8,3.60,1.03,7.78,11.98,0.94,8.52,13.32
901,4,9,9,19,7,7,3.6,2010,U07m,81XAA04,4.4,5.5,5.2,6.8,3.4,5.0,4.2,5.5,40.08,69.78,81XAA04,3.7,4.7,2.6,3.1,5.9,5.5,4.2,4.8,81XAA04,8,34.5,4.31,0.83,9.58,7.16,0.66,12.18,15.53
902,4,9,9,20,7,7,5.9,2010,U07m,81XAA04,5.6,8.8,5.9,9.4,6.4,6.3,4.7,7.4,54.51,128.30,81XAA04,3.6,2.6,3.1,2.1,2.4,6,5.5,4.2,81XAA04,8,29.5,3.69,1.60,5.00,14.54,2.26,3.54,21.76
903,4,9,9,21,7,7,2.4,2010,U07m,85XAA04,2.6,5.6,4.8,12.7,9.0,12.7,2.6,3.9,53.85,135.78,85XAA04,5.9,3.1,2.1,0,0,0,6,5.5,85XAA04,5,22.6,2.83,0.85,9.42,3.16,0.40,19.98,6.78
904,4,9,9,1,8,8,1.8,2010,U07m,1XTE04,9.0,12.7,6.0,6.5,9.0,2.9,2.3,12.7,61.15,164.37,1XTE04,0,0,0.9,1.7,0,6.1,5.4,0,1XTE04,4,14.1,1.76,1.02,7.83,3.69,0.37,21.63,3.17
905,4,9,9,2,8,8,0,2010,U07m,1XTE04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1XTE04,1.8,0.9,1.7,0,0.9,5.1,6.1,5.4,1XTE04,7,21.9,2.74,0.00,0.00,0.00,0.00,0.00,0.00
906,4,9,9,3,8,8,0.9,2010,U07m,1XTE04,9.0,4.4,9.0,12.7,3.1,1.6,1.4,1.6,42.83,91.06,1XTE04,0,1.7,0,0,1.7,6.3,5.1,6.1,1XTE04,5,20.9,2.61,0.34,23.22,1.53,0.06,134.19,2.35
907,4,9,9,4,8,8,1.7,2010,U07m,1XTE04,5.9,12.7,9.0,2.7,2.7,9.0,1.9,3.2,47.15,101.72,1XTE04,0.9,0,0,6.2,4,0.7,6.3,5.1,1XTE04,6,23.2,2.90,0.59,13.65,5.62,0.19,42.02,4.93
908,4,9,9,5,8,8,4,2010,U07m,18XAG04,6.3,12.7,3.5,4.9,6.1,12.7,7.7,4.9,58.95,147.48,18XAG04,1.7,0,6.2,6.3,1.9,0,0.7,6.3,18XAG04,6,23.1,2.89,1.39,5.78,12.09,1.03,7.80,11.55
909,4,9,9,6,8,8,1.9,2010,U07m,18XAG04,2.9,3.0,2.1,3.3,4.5,5.5,9.0,9.3,39.53,78.23,18XAG04,4,6.2,6.3,5.5,1.9,2.5,0,0.7,18XAG04,7,27.1,3.39,0.56,14.26,5.90,0.21,37.32,6.44
910,4,9,9,7,8,8,1.9,2010,U07m,18XAG04,4.5,2.9,2.3,2.8,2.9,5.9,3.9,12.7,38.00,64.26,18XAG04,1.9,6.3,5.5,6.8,3.9,2.2,2.5,0,18XAG04,7,29.1,3.64,0.52,15.32,4.04,0.20,40.47,6.91
911,4,9,9,8,8,8,3.9,2010,U07m,18XAG04,6.1,5.3,3.3,6.5,3.7,6.7,5.8,7.8,45.02,88.13,18XAG04,1.9,5.5,6.8,3.7,5.7,3.5,2.2,2.5,18XAG04,8,31.8,3.98,0.98,8.15,9.52,0.81,9.84,15.50
912,4,9,9,9,8,8,5.7,2010,U07m,82XAA04,5.3,5.8,5.5,6.8,5.0,8.3,5.6,9.2,51.53,114.00,82XAA04,3.9,6.8,3.7,4.9,4.6,3,3.5,2.2,82XAA04,8,32.6,4.08,1.40,5.72,12.36,1.78,4.51,23.23
913,4,9,9,10,8,8,4.6,2010,U07m,82XAA04,4.0,7.1,4.4,8.0,4.3,7.4,5.4,7.2,47.85,95.24,82XAA04,5.7,3.7,4.9,2.7,5,3.3,3,3.5,82XAA04,8,31.8,3.98,1.16,6.91,9.85,1.26,6.36,18.29
914,4,9,9,11,8,8,5,2010,U07m,82XAA04,4.7,6.4,5.8,8.5,4.7,12.7,5.4,8.0,56.29,129.82,82XAA04,4.6,4.9,2.7,2.5,4.5,0,3.3,3,82XAA04,7,25.5,3.19,1.57,5.10,10.25,2.02,3.95,15.94
915,4,9,9,12,8,8,4.5,2010,U07m,82XAA04,4.3,8.0,5.8,6.1,4.5,5.0,9.0,7.3,49.96,108.83,82XAA04,5,2.7,2.5,4.9,4.5,6.9,0,3.3,82XAA04,7,29.8,3.73,1.21,6.62,8.30,1.15,6.98,16.76
916,4,9,9,13,8,8,4.5,2010,U07m,81XAA04,4.5,8.2,4.3,6.0,4.8,5.5,3.6,12.7,49.51,97.05,81XAA04,4.5,2.5,4.9,5.1,4,5.9,6.9,0,81XAA04,7,33.8,4.23,1.07,7.51,7.14,0.93,8.64,19.01
917,4,9,9,14,8,8,4,2010,U07m,81XAA04,4.2,5.7,4.0,5.9,9.0,4.8,3.6,4.7,41.92,78.03,81XAA04,4.5,4.9,5.1,4.7,0,6.5,5.9,6.9,81XAA04,7,38.5,4.81,0.83,9.63,5.21,0.59,13.56,19.25
918,4,9,9,15,8,8,0,2010,U07m,81XAA04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,81XAA04,4,5.1,4.7,2.9,2.7,7.1,6.5,5.9,81XAA04,8,38.9,4.86,0.00,0.00,0.00,0.00,0.00,0.00
919,4,9,9,16,8,8,2.7,2010,U07m,81XAA04,9.0,4.6,4.3,3.7,3.6,10.1,2.5,3.7,41.61,69.14,81XAA04,0,4.7,2.9,6.5,4.1,0.7,7.1,6.5,81XAA04,7,32.5,4.06,0.66,12.04,7.23,0.32,25.06,10.97
920,4,9,9,17,8,8,4.1,2010,U07m,84XAA04,5.4,7.5,3.5,6.2,4.2,6.7,7.7,4.7,45.81,90.04,84XAA04,2.7,2.9,6.5,4.3,4.7,3.7,0.7,7.1,84XAA04,8,32.6,4.08,1.01,7.95,12.93,0.82,9.70,16.71
921,4,9,9,18,8,8,4.7,2010,U07m,84XAA04,4.8,5.3,4.7,5.6,5.8,7.2,5.0,11.1,49.61,105.04,84XAA04,4.1,6.5,4.3,5.9,2.6,3.6,3.7,0.7,84XAA04,8,31.4,3.93,1.20,6.68,14.86,1.21,6.62,18.45
922,4,9,9,19,8,8,2.6,2010,U07m,84XAA04,3.2,4.8,2.8,3.4,4.1,3.9,3.8,5.3,31.16,42.10,84XAA04,4.7,4.3,5.9,7.2,3.1,5.9,3.6,3.7,84XAA04,8,38.4,4.80,0.54,14.77,4.66,0.27,29.33,12.48
923,4,9,9,20,8,8,3.1,2010,U07m,84XAA04,4.9,4.4,2.7,8.4,5.4,7.2,3.1,5.9,41.91,73.87,84XAA04,2.6,5.9,7.2,1.6,2.1,2.4,5.9,3.6,84XAA04,8,31.3,3.91,0.79,10.10,8.24,0.50,16.02,12.13
924,4,9,9,21,8,8,2.1,2010,U07m,85XAA04,3.6,2.9,5.1,12.7,9.0,12.7,4.2,3.3,53.61,141.02,85XAA04,3.1,7.2,1.6,0,0,0,2.4,5.9,85XAA04,5,20.2,2.53,0.83,9.62,3.51,0.34,23.71,5.30
925,4,9,9,1,9,9,0.9,2010,U07m,85XAA04,9.0,12.7,1.1,6.4,3.1,12.7,3.0,12.7,60.80,136.73,85XAA04,0,0,6.2,0.9,1.7,0,1.8,0,85XAA04,4,10.6,1.33,0.68,11.78,2.17,0.14,56.02,1.19
926,4,9,9,2,9,9,1.7,2010,U07m,85XAA04,5.9,2.7,5.9,4.1,9.0,8.3,9.0,6.2,51.09,118.38,85XAA04,0.9,6.2,0.9,3.6,0,0.9,0,1.8,85XAA04,6,14.3,1.79,0.95,8.41,7.36,0.41,19.75,3.04
927,4,9,9,3,9,9,0,2010,U07m,85XAA04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,1.7,0.9,3.6,6.1,0,1.7,0.9,0,85XAA04,6,14.9,1.86,0.00,0.00,0.00,0.00,0.00,0.00
928,4,9,9,4,9,9,0,2010,U07m,85XAA04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,0,3.6,6.1,3.6,6.2,4,1.7,0.9,85XAA04,7,26.1,3.26,0.00,0.00,0.00,0.00,0.00,0.00
929,4,9,9,5,9,9,6.2,2010,U07m,80XAA04,9.0,6.4,5.7,8.5,4.5,9.7,5.5,10.0,59.26,149.13,80XAA04,0,6.1,3.6,3.1,6.3,1.9,4,1.7,80XAA04,7,26.7,3.34,1.86,4.31,14.18,2.52,3.17,20.69
930,4,9,9,6,9,9,6.3,2010,U07m,80XAA04,4.5,8.1,6.0,8.1,4.8,9.8,6.9,7.8,56.05,133.33,80XAA04,6.2,3.6,3.1,3.6,5.5,1.9,1.9,4,80XAA04,8,29.8,3.73,1.69,4.73,15.90,2.49,3.21,23.47
931,4,9,9,7,9,9,5.5,2010,U07m,80XAA04,4.2,8.1,5.4,8.5,4.0,7.4,6.7,9.5,53.93,120.90,80XAA04,6.3,3.1,3.6,2.7,6.8,3.9,1.9,1.9,80XAA04,8,30.2,3.78,1.46,5.49,14.22,1.75,4.57,20.76
932,4,9,9,8,9,9,6.8,2010,U07m,80XAA04,5.0,8.3,6.4,9.2,5.8,6.9,5.7,9.9,57.37,139.43,80XAA04,5.5,3.6,2.7,2.6,3.7,5.7,3.9,1.9,80XAA04,8,29.6,3.70,1.84,4.35,16.61,3.03,2.64,25.16
